Positive	Negative	Text
2	-1	"I am proud to support this government. #Monti has started well, he is authoritative. Italy in #UE has regained its rightful place."
2	-2	"Dear Professor Monti, I will gladly pay the tax on the dogs that I keep at home, if you take away the tax on the pigs that I keep in Rome ..."
3	-1	"Publishing is not Fieg. A very nice letter from @vittoriopasteris to Mario Monti http://t.co/Mqb7zpqt via @cfabry"
2	-1	"Here are the first encouraging steps of the Monti government on renewables http://t.co/VxuVlLBT"
1	-3	"Government, #Monti now fears obstacles to #Senato Italia l'Unità http://t.co/qJhsbSGP"
1	-1	"it ages 50 years in a few days. He wanted to be part of the Monti government http://t.co/grUqQE70"
1	-1	"Political Costs, Maroni: Squeezing the right thing on annuities: But Parliament did it, not the Monti government http://t.co/3cSlzjQy"
2	-3	"@Carlo_Pistarino From Cavour to Berlusconi always cheated are the c ...... i; from Garibaldi to Mario Monti they manage flocks of tonti! Mha!"
1	-1	"Hymn to Joy for the Monti Government http://t.co/Im7Dxeff via @DillingerTwitt"
1	-1	"http://t.co/TvxnjicF ideas for #government #mountains"
1	-2	"Reform of the #pensions, there is already controversy over the Monti government program http://t.co/KQ7WcZFk"
1	-1	"Mario Monti cuts the unions out of pensions and layoffs ... But weren't they the ones pushing for Monti?"
1	-2	"The risks of (non) communication by Mario Monti http://t.co/dWaTOyxF"
1	-1	"Tullio Fanelli, a Foggia in the Monti government http://t.co/2U65QoZK"
1	-2	"@mariomontitweet mario monti We will not tolerate cunning: the resigning parliamentarians will not benefit from any pension - Good President."
1	-2	"THE MONTI GOVERNMENT IS THE COMPLETION OF THE CLERICAL-MASONIC COUNTER-REVOLUTION BEGUN IN '92 -'93. http://t.co/0vd1Hn20"
1	-2	"Ferrero (PRC) proposes to Vendola (SEL) unit on the left against the Monti Government | umbrialeft.it http://t.co/NCBBMZB3"
1	-2	"#Monti government is fully legitimate. The political forces that insist on the suspension of democracy ignore the Constitution."
1	-1	"A MegaCondom for the #WorldAIDSDay at Montecitorio. We ask the #Monti Government to provide prevention and information http://t.co/dCyExBN2"
1	-1	"In the Monti government there is no pussy, although there is Passera."
1	-3	"#Passera says they could pay me in #Bot .. but do they accept them at the butcher's shop? #creativefinance #crisis #economic development #government #mounts"
1	-1	"Video: My comment on the Monti government .... http://t.co/BbSvgXo5"
1	-1	"@notapolitica: Stucchi: The Monti government is already at fruit http://t.co/bQn5WEmh The words of those who have been at fruit for 3 years"
1	-1	"sure that if #Fini and Schifani had hit the annuities before the fall of B., with the fife that the #Monti government was born. :)"
1	-1	"Arbasina / Giavazzi on Corriere on the economic policy of the Monti government: What matters is quality http://t.co/gWdD5Skt"
1	-1	"Dear Professor Monti http://t.co/iNU6rXrK"
1	-2	"Gelmini: The problem was not Berlusconi but the weak euro: ""On the balance sheet we expressed the Monti government ... http://t.co/42CznXJg"
1	-1	"Because the Monti government can strengthen (and a lot) comrade @nichivendola http://t.co/oVl4q6Va"
3	-1	"This is not a country for young people. I would have liked the first #Monti government reform to have been that of work, not pensions."
1	-1	"New article on http://t.co/AwfD4hRn It is entitled There was nothing to study and talks about the Monti government http://t.co/c961vqUQ."
3	-1	"I liked a @YouTube video http://t.co/qbY2bddW Incredible! Voyager unmasks Mario Monti!"
1	-2	"Tg3 The Monti Government cartoon: a sensational hypothesis concerning retirement pensions with the raising ... http://t.co/LqZRxPA6"
3	-1	"Cesare Damiano I am happy to inspire the Monti government on the issues under consideration. I have warned of the convergence on the bill."
2	-1	"#Disabato, #Losappio: ""On drilling we trust the government #Monti"": And now there ... http://t.co/tqv6xJNk"
1	-1	"#social parties convened on Sunday. You can say anything about #government #monti but certainly not that you don't work hard right? #public service"
1	-1	"Meanwhile, Mario Monti has called the social partners for next Sunday"
1	-2	"government mountains, the factory of poverty '. title of the Padania of tomorrow"
1	-4	"Brunetta claims to go back to being an economist, Mario Monti terrified plans to give up everything and open a fish shop"
1	-3	"Government, Monti fears discontent, towards party leaders meetings: Premier opens to quick talks and calls parties so ... http://t.co/OKxJnZ7H"
3	-3	"Taxes: the rich tremble, the super-ICI arrives on second and third homes: the Monti government is preparing to strike the ... http://t.co/pmnpWhUb"
1	-1	"@MarcoTravaglio mentions the twitter reactions of various political leaders to the Monti government #serviziopubblico"
1	-3	"@MarcoTravaglio attacks the news of La Stampa and Repubblica on Mario Monti #serviziopubblico"
1	-2	"Bersani warns the Monti government Do not be deaf to our requests Repubblica.it http://t.co/a4FKGIDW via @repubblicait"
3	-2	"@bastaCasta Will the Monti government present a social butchery maneuver? I hope it hits the rich, otherwise I'll take to the streets."
1	-2	"@chedisagio also because unfortunately the switch in parliament on the #government #Monti has the #parliament"
1	-2	"Giannini, why was the investigation of the Monti government's conflicts done by AgoraVox instead of Repubblica? http://t.co/2qnNQcIq #serviziopublic"
1	-1	"Mario Monti summoned the social partners for Sunday morning, one day before the presentation of the maneuver: http://t.co/esgrZ7ic"
1	-1	"#serviziopubblico is the only program that is providing information, the others are really the Istituto Luce with this government #Monti"
1	-2	"Going after Mario Monti ... we forget the origin of the problem .. http://t.co/HjeXq89F via @infoxresist"
1	-1	"tomorrow #cgil brings together 15,000 delegates in #roma. what should we tell him Professor @Monti?"
1	-1	"Mario Monti goes to #cagare"
2	-1	"The Monti Government, a team of old men and male chauvinists http://t.co/0l2BK0BB holy words!"
2	-1	"The #Terzopolo looks like the brancaleone army. Let's arm ourselves and go! #government #mounts #oramonti #pdl #pd #udc #idv"
1	-1	"Because tomorrow will not be an easy day for the Monti government http://t.co/Y2xIrd6o"
1	-1	"Monitaly 20-27 nov: the Monti government takes its first steps and Italy is one of the key figures of the eurozone: ... http://t.co/0GOjevAZ"
1	-1	"The Monti Government: a Supported Government or a Supported Government?"
1	-1	"ELENA UGOLINI, the new Undersecretary for Education of the Monti government, is from CL. This is what COMMUNION AND LIBERATION is: http://t.co/AajchR32"
1	-1	"MARIO MONTI MASSONE, SERVING THE BANKS YOUR NTA PROFESSION"
2	-1	"Mario Monti from Vespa seems to me to be a very uninnovative and old way to talk to the country. Go to the Radio and communicate with young people!"
3	-2	"Fiat, Marchionne: 2012 for the car even more difficult: Total support for the Monti government http://t.co/Rbw2Puyv"
1	-1	"@ItaliaOggi: Luiss major shareholder in the Monti government http://t.co/EDaKTQGv via @italiaoggi @luigi_vasta @choebin"
1	-2	"Bonanni: pension reform? News: let's negotiate, no strike: the Monti government is preparing to propose the re ... http://t.co/P9bSTWH4"
2	-2	"Three out of four Italians reject the Monti government, it affects only the weak / poor. Who would have thought! #governoladro #fb"
1	-2	"In #Napoli the first initiative against the #Monti Government: Monday 5 December at 4.00 pm @ Eastern University"
1	-2	"Undersecretaries of the Monti government, there is the real Braga: Palazzo Chigi: ""All right, you will swear in a few days"". Minis ... http://t.co/9cWgwNEb"
1	-1	"MARIO MONTI, ELSA FORNERO, CORRADO PASSERA GUESTS TUESDAY FROM PORTA A A PORTA"
1	-2	"FOR A NATIONAL DEMONSTRATION IN ROME AGAINST THE MONTI GOVERNMENT ... http://t.co/dflctONm"
1	-1	"tomorrow we will give up 15 thousand delegates in #roma. what should we tell him Professor #Monti?"
1	-1	"MARIO MONTI: 72,000 EUROS PER MONTH HERE'S WHAT THE TV'S DON'T SAY ABOUT THE NEW PREMIER. | Free Italy: http://t.co/xCABfmAH via @AddThis"
1	-2	"Does cutting #pensions, # healthcare and #services and increasing #VAT serve to relaunch the #country? difficult to sustain Professor #Monti"
1	-3	"The policy of the Monti government kills the growth of Italy, reduces the Italian people to misery and does not save Europe from bankruptcy."
1	-1	"Professor #Monti, but isn't it that the usual ones will always pay? For now, between #pensions and #iva, there is no trace of # equity and #growth"
1	-1	"http://t.co/iOq8T2QS DOOR TO DOOR, GUEST MARIO MONTI"
1	-2	"PENSION REFORM: THE MONTI GOVERNMENT WANTS TO ABOLISH THE 'MOVABLE WINDOWS': http://t.co/R2hbXK40 via @NotixRedazione"
1	-2	"Mario Monti from Vespa to present the maneuver: controversy http://t.co/LXW8ZBhZ #notizie #politica"
1	-1	"Mario Monti on Tuesday evening at Porta a Porta to explain the maneuver, together with the ministers Corrado Passera and Elsa Fornero"
1	-2	"The Monti government maneuver talks about the luxury tax. One-off on scarves over 50 centimeters. Okay, warm up ..."
1	-2	"Melelli / The Left for Castello: We are against the Monti government | umbrialeft.it http://t.co/f6tNast7"
1	-1	"Beauty contest, the Democratic Party asks the Monti government to change the rules: You cannot give it to the incum as a gift. http://t.co/FmzDHSMP"
1	-1	"The maneuver of the Monti government arrives on Monday: pensions, house plan, VAT and work plan on the agenda http://t.co/LYm3aE6C: http://t.co/zBz1XPvm"
1	-2	"THE NEW REFORMS OF THE MONTI GOVERNMENT: INCREASE IN IRPEF AND TAX ON LUXURY GOODS http://t.co/ySZcvumv"
1	-3	"Government, Monti illustrates anti-crisis measures to the Chamber on Monday: Controversy over participation in Porta a Porta Tuesday http://t.co/hQLYlkag"
1	-1	"Federauto to the Monti Government: Be quick: 30% of the 3,600 Italian dealers closed 2011 in red http://t.co/fgkRCNHo #auto #mercato"
1	-2	"Maneuver, the equity tax arrives Taxed boats and luxury goods: The Prime Minister Mario Monti Tassa ... http://t.co/6UQDCI9j"
1	-2	"First rumors of the maneuver by Mario #Monti. We will most likely be one of the most taxed states ever."
1	-1	"Mario Monti will explain the reforms first in Porta a Porta and then in Parliament http://t.co/XYau6k5z"
1	-3	"Mario Monti for all intellectuals for us you are just a criminal! Forza Nuova, the only OPPOSITION"
3	-1	"Mario Monti will present the Maneuver at Porta a Porta ... Let's hope he doesn't propose a contract with the Italians: D"
1	-2	"The #Monti government is in an emergency, we will have to return to voting without #porcellum as soon as possible. Those who deny this priority do so for their own benefit"
2	-3	"this Monti government already smells like crap."
1	-1	"Mario #Monti will explain the maneuver directly from the Porta a Porta television lounge. It is the new that (dis) advances."
1	-1	"Mario Monti confirms Manlio Strano general secretary: ROME, 2 DEC - The Prime Minister Mario Monti, d ... http://t.co/bs3SLQsJ"
1	-3	"Government, Monti in the evening from Napolitano to the Quirinale: To talk about the anti-crisis measures being studied by the executive http://t.co/BpxQDd1N"
1	-1	"@mariomontitweet but is this REALLY Mario Monti's twitter?"
1	-1	"@ D1M9G72 I will never spend a word to defend the Monti government, but I think it is a necessary medicine after the Berlusconi years."
1	-1	"Anyway, the reason why #Mario Monti shouldn't go as a guest at #Porta a Porta escapes me completely .."
1	-2	"if I find Mario Monti's mask I foresee that it will take the place of silvio in my videos D: what a pity but I have to do it U_U"
1	-1	"Mario Monti is so sober that his flatulence does not give off any smell ..."
1	-4	"For once I agree with the #camusso I do not see traces of equity in the #financial of the #government #Monti and I find it depressive #FF"
1	-1	"Professor #Monti it seems that to find # equity in the #management you need a magnifying glass ... where is the #growth?"
2	-1	"Today at the #assembly the #cgil and its 15,000 delegates will talk about #growth and # equity in #work ... professor #Monti plays"
1	-2	"Today's front pages: Today we talk about Mario Monti's weekend and a shower of taxes http://t.co/IMQ0yKN6"
1	-2	"GOVERNO MONTI STUDIES TAX ON BOAT, HEALTH CUTS AND TRANSPORT http://t.co/AYKF40ED"
1	-2	"Pensions, Monti's false equity: by Sante Moretti The Monti government wants to eliminate the ... http://t.co/WKxscVT5"
1	-4	"The sad thing is that in a few months we will also regret the Monti government"
1	-2	"I'm rich, but only for the Monti government ... Unfortunately"
1	-1	"Meta (Pd) The #Monti government asks Italians to jump through hoops and auction digital #frequencies instead of giving them to #Mediaset"
2	-4	"When I see Mario Monti I hear the tune of Schindler's' List and I feel like crying"
1	-1	"Was there a need for #government #Monti and Bocconians? Those who were there before were enough. At most the vampires of #Twilight"
1	-1	"Monti government and the role of the Democratic Party, Cenni and Bezzini talk about it on Monday in Gaiole http://t.co/9RDwEW28"
1	-3	"First measures of the #government #Monti to respond to the #crisis http://t.co/EIpOZpn8"
1	-1	"Is the fact that Mario Monti's only anagram is marriage a certainty? ' (cit. La Cigna)"
1	-1	"IX National Congress of Legambiente. An appeal to Mario Monti to reduce cuts in local public transport ... http://t.co/tonKJ3RB"
1	-3	"What lies behind Mario #Monti? http://t.co/ZkS95znu"
1	-1	"@Idvstaff @tweetpolitica surely the #Government #Monti is better than the previous two."
1	-1	"The Monti government is a government of broad understandings. Is 'door to door' the right place to present the maneuver to citizens?"
1	-1	"Mario Monti Channel: politicians today, social partners tomorrow. http://t.co/poXFbCKG"
1	-3	"There is a clear perception that the Monti government is better than the previous one and, unfortunately, for almost everyone, even the next!"
1	-1	"Marcolini: Tomorrow culture will become the eighth point of the monti government's agenda. # Fabbricadicultura"
3	-1	"Last weekend before the blow of the sober government #monti: to leave no hope it rains too ..."
1	-3	"@N_DeGirolamo but who wants me to pay if not families? simple clean ready to ... # crisis # government # mountains"
1	-1	"The #monti government as well as the oldest in Europe is also the oldest in the history of Italy http://t.co/1xDCJU8O"
2	-3	"@FrancoBechis I want to see who will have the courage to bury the Monti government's maneuver. The PDL will not."
2	-1	"The third pole gives full support to Mario Monti, but who did you go to trust? (cit. #MYFATHER)"
1	-2	"But wasn't the #monti government supposed to lighten taxes on labor and increase those on consumption? It seems to me that #fullmonti does the opposite"
3	-1	"The trade unions realized only now that the mountain government is deleterious ... Good morning! Wake up!"
3	-1	"#Goodnight everyone. Pending the rulings of the #Monti government. Let's hope we make it."
1	-3	"Professor #Monti is easy. #growth the same #young and #women at #work in 2012. # equity equals #tassagrandiricchezze and fight #evasion"
2	-2	"@ Francesca75a the Monti government is like a nice dry cleaner for the parties that have governed, badly, in the last three years."
1	-3	"Monti government, what a gang de coj.niis, is this the solution? We tax everything, w scientists!"
2	-1	"Calderoli what happened to the indignatos? When the Monti government arrived, they disappeared! #openPdn"
1	-1	"Tears and blood of the Italians, but for what? Three questions for Professor Monti http://t.co/UmZIL8Zc"
1	-1	"@mehditek: The Monti government is the oldest in Europe and in republican history, young people get up and leave the country. Right"
1	-4	"Guys in Rome there is a bad weather. It rains but how it rains. The climate is in line with the Monti government. Tears, sweat, blood and even rain"
1	-3	"Alfano: Heavy maneuver today or failure tomorrow: #angelino alfano #governo monti #Manovra ROME - '' The crossroads and ... http://t.co/QsROVXEI"
3	-2	"I do not understand why so much amazement for the 20 billion maneuver ..... it was known that the #monti government would have had to adopt a tough policy"
1	-1	"On the #pensions the blow will be very hard. But what meaning does professor #Monti give to the word # equity?"
3	-2	"I would say that instead of criticizing what #Government #Monti does it would be more useful to underline what they DO NOT do - #CUTS to #POLITICS!"
2	-1	"I would only pay for the maneuver to those who rejoiced at the birth of the Monti government! 'ccivostra!"
1	-1	"@simonespetia but why does no one understand it? Do we have the #Monti government to do the things that everyone could do? Is this #fullmonti?"
1	-2	"@ilFranti .. the Monti government is sent to be screwed by the banks and slaughtered by workers."
1	-2	"The Monti government risks not reaching 2013 #Inmezzora #Pisapia"
1	-1	"Mario Monti: HEAD OF GOVERNMENT € 12,000 + LIFETIME SENATOR € 25,000 + PENSION € 35,000 = € 72,000 per MONTH - And do you want a sacrifice from us too?"
1	-2	"#Pisapia a #inmezzora talks about the risk that the #Monti government will split the center-left"
1	-1	"#Pisapia dall '#Annunziata today admits that at the end of the fair the #government #Monti will help the #Pdl to reassemble and that the #Pd will be damaged"
1	-3	"Disappointment # government #Monti: little to fight # tax evasion"
1	-1	"Disappointment # government #Monti: nothing #patrimonial"
1	-1	"""@enzopane: @NichiVendola: It is hard to see even a single sign of fairness in the maneuver of the Monti government ... I agree"
2	-1	"Maneuver, Monti: ""Sacrifices by all. Nobody should be satisfied"": #Manovra #mario monti #sacrifici BARI - '... http://t.co/nrRKxp3V"
2	-1	"we bet in the space of 2 months all the ministers of the Monti government, including the president, will be on Twitter? welcome to @corradopassera"
4	-3	"It is ridiculous and irritating that Professor Monti goes to Porta a Porta, to the regime journalist par excellence, but does Monti know who Vespa is?"
1	-1	"It is hard to see even a single sign of fairness in the Monti government's maneuver. Everything weighs on the shoulders ... http://t.co/sVuimqsq """
2	-1	"If nothing else, now they put it in our ass in a much more elegant way. #government #Monti"
1	-2	"The #government #Monti must be judged by the facts. I can finally say ... it's bad."
1	-1	"Every town has some trouble ""@terracqueo: The #Monti government maneuver was written by Prince John and the Sheriff of Nottingham"""
1	-2	"The much-claimed equity required of the Monti government is not there, everyone is dissatisfied except Piercasinando and Emmona"
2	-1	"After reading the summary of the financial maneuver proposed by the Monti government, I begin to think that early elections are fairer!"
2	-1	"After reading the summary of the financial maneuver proposed by the Monti government, I begin to think that early elections are fairer!"
1	-3	"Raising taxes is easier than fighting tax evasion #government #Monti"
2	-3	"@klubbo: It is easier to raise taxes than to fight #government #Monti tax evasion. unfortunately true."
1	-3	"But if the monti government is hostage to a stale policy and a transversal majority of inept witnesses, what the fuck is he doing?"
2	-3	"the government mounts and ready to fuck our lives and dear friends we have to pay a debt not made by us"
3	-1	"And finally, thanks to the Monti government, he will pay that he has always paid!"
1	-3	"CUTS TO POLITICIANS? BUT WHERE? MONTI GOVERNMENT, SHOOT!"
2	-1	"Bravo Mario Monti! Finally ONE who shows how to govern!"
1	-1	"The #Monti government's maneuver on the Provinces does not disappoint, let's listen to the rest"
4	-1	"Mario Monti has given up his salary. Both as a Premier and as a Minister. This is called loving your country."
1	-1	"The three main #Rai networks are not broadcasting the Mario #Monti press conference"
1	-2	"The sacrifices that are missing: The maneuver presented by the Monti government is open to criticism from many points of view. It's mo ... http://t.co/xowLaMrq"
1	-2	"#Monti government on retirement flexibility with incentives, canceled windows and quotas. Minimum age for women 62 and men 66 raised from 2018"
3	-1	"And good Mario Monti, let's see tomorrow what we will read in detail. Let's see if you please me! If you are fair, the ICI will gladly pay you!"
2	-1	"a prime minister who has decided not to be paid, a minister who is moved by the #monti government is a true miracle"
1	-5	"The measure of the #Monti government is really #tears and blood: #fornero docet!"
3	-4	"I feel close to the #Monti Government; after the fake reassuring smiles of the previous government, a thousand times the sincere tears of Elsa #fornero"
1	-1	"The #Monti government's maneuver on liberalization and competition, #Passera too generic. Judgment suspended."
1	-2	"@RaiTv you must be ashamed not to broadcast Mario Monti's press conference"
1	-1	"But will the #monti government press conference be able to finish before #district?"
1	-2	"Sometimes if it rains shit and someone has to put an umbrella in it and who are you gonna call? #Mario #Monti"
3	-2	"Mario Monti is my great disappointment immediately after the discovery of the nonexistence of Santa Claus ... #Monti"
2	-1	"there is an elf in the #monti government and he is talking now! he is perfect for #ilsignoredeglianelli"
1	-2	"@SerenellaM: Giarda is the Wolf of the #Monti government: he corrects mistakes the minister oyster and goggle"
2	-3	"I know, it's bad and irrelevant, but the Monti government is made up of ugly people, uglier than the disease. They will be good eh, but ugly"
1	-4	"After the government ministers #Monti who illustrate the #manovra on La7 there is #Alfano. I am afraid."
2	-2	"@pbersani: I do not regret having supported the birth of the #monti government, we were at risk and I am not interested in winning over the rubble"
2	-1	"17 days to make us pay for the funny ones of those who have had fun in the last 17 years #governo #monti"
3	-1	"We have made a huge effort to ensure that the usual suspects are not always excluded. [cit. Mario Monti] eeeee what an effort!"
1	-1	"@ 3003bigo72 I do not hate her nor the government #monti and I want to study the measures carefully before making judgments @robertamilano"
1	-2	"12bn in spending reduction + 18bn in taxes #government #monti #italia #manovra"
1	-1	"The #government #Monti does not end here, but it still has surprises for #Italy. Will #politics let him wander around the palace for a long time? #handle"
1	-1	"Mario Monti asks Italians for sacrifices to revive the economy http://t.co/0ATbGgMM"
1	-4	"Italian journalists, stop with these really uncomfortable and impertinent questions to mario #monti"
3	-1	"Tonight I go to bed calmly: I feel in good hands. Congratulations to the entire # government team # you set an example of class and competence"
1	-1	"After the sense of wonder about the communication and management capacity of the #monti government, can we talk about the actions? #opengov"
1	-2	"I prefer to be unpopular, you can do without me, Europe not Mario Monti"
2	-2	"One measure to combat tax evasion are non-amnesties (Mario Monti). Thanks."
1	-2	"Tomorrow at #portaaporta Mario Monti answers Crepet's questions about the Avetrana crime."
1	-2	"Government, Mario Monti to the Italians: ""Let's show Europe that we are capable of solving our problems"" http://t.co/N95bxKHU"
1	-2	"In the face of those who used to say against tax evasion: A measure to combat tax evasion is a non-measure: non-amnesties Mario Monti -"
1	-1	"Government, Monti: If I stay in politics? I think I'll have enough ...: I have an extraordinary responsibility, I think I know ... http://t.co/C5X1jltV"
2	-1	"Dear, fans of the # Monti Government, now explain the difference with the one with the Three in front. I just don't see it. Ah, the pensions! #handle"
4	-1	"Mario Monti: a great man worthy to lead our country!"
1	-1	"Having competent ministers has a strange effect on Italians. Which speaks volumes about our past. #Monti government"
2	-1	"#riotta hasty and talented economists friends, who trusted indiscretions more than our common sense Mario Monti"
1	-3	"Hard sacrifices or Italy fails (Mario Monti). If the sacrifices must be made by those who have the money, I ... http://t.co/1vruXTkr"
1	-1	"The maneuver does not exhaust the measures of the Monti government. Is it so hard to understand? #Monti #manovra #wakeupitaly"
1	-4	"Mario Monti is not my Prime Minister seen ke nn I chose him but the same Government .. Shame!"
3	-1	"I liked a @YouTube video http://t.co/w4K4PF3n ITALIANS DON'T EXULT: MARIO MONTI IS THE NTH BUR"
3	-2	"A round of applause to the Monti government and long live the maneuver! But I would have been tougher with these damn old ... http://t.co/gmC6fqvS"
1	-2	"the #fornero puts a sore spot while explaining how the #MONTI government's maneuver will bring people to their knees: #lacrimedicoccodrillo"
1	-1	"So Rai obscures Mario Monti http://t.co/cDu37oT7"
1	-1	"New VAT increase of 2% (to 23%) from mid-2012 and new increases from the Monti government http://t.co/BwYArMWM"
1	-3	"But where is the patrimonial and the fight against tax evasion in the maneuver of the Monti government?"
1	-1	"#monti government: more equity or more equitalia?"
1	-1	"I think it mounts .. Be the right one #government mounts .... # least of all"
2	-1	"The norm on the 1000 euro cash could also have been saved. But who the h * is has them today 1000euro cash? #management #government #mounts"
2	-1	"Is hoping that the #Monti government makes the law on Conflict of Interest science fiction? Already we don't talk about it anymore ..."
2	-2	"The #Government #Monti has done (right or wrong) what others, cowardly, did not have the courage to do."
1	-1	"Applause to # La7 for having broadcast the entire press conference of the #Monti government in full non-stop."
1	-1	"@nomfup how does it work with the new government? #monti gives him a lot per kg? #fatevobis"
1	-1	"The #financial maneuver signed by the Monti government has been launched. Read what the most important decisions are and what you think http://t.co/EMzE25F6"
1	-1	"Monti government = dictatorship"
1	-1	"says that the anagram of mario monti = marriage. that's why I'm allergic to #manoeuvre"
2	-2	"Social inequality: The rich are getting richer. Thus tax evasion is encouraged. #management #government #Monti"
1	-1	"Staderini: first assessments on the measures of the Monti government http://t.co/jVNwjexf"
4	-1	"the inaction of Rai at the press conference of Mario Monti @ggramaglia, but Rainews made an excellent direct. Battered, but it's Rai!"
2	-3	"The Monti government's maneuver is unpopular, a predictable reaction! But it is necessary, Italy needs it!"
4	-1	"the inaction of Rai at the press conference of Mario Monti @ggramaglia, but #Rainews made an excellent direct. Battered, but it's Rai!"
1	-1	"The main measures of the #Monti government's maneuver: http://t.co/3Yz8NHkc"
1	-3	"Bardoscia, Maritato (http://t.co/59b69U4A): Monti Government? From bad to worse http://t.co/s2Z0M4hi"
2	-1	"... the best summary of the Monti government's maneuver is contained in the sequence of this film ... http://t.co/VwVTljhd via @youtube"
1	-1	"From the #Monti government measures to the # 10changes proposed by the #nofreejobs Generation Have you read the 10 points? http://t.co/C6L8tQ7t"
1	-1	"The Monti government's maneuver What do you think? http://t.co/NzBpqy4z LaNazione #Pisa"
1	-4	"MARIO MONTI BUT FUCK YOU AND ALL THE ITALIAN GOVERNMENT! YOU ARE OUR RUIN!"
2	-1	"Government, Monti: I trust we will be supported in Parliament: Even if political forces did not speak to each other until the day before yesterday http://t.co/Qtm15j2H"
1	-1	"BRAVO Pietro Ichino | MY VOTES ON THE MANEUVER OF THE MONTI GOVERNMENT http://t.co/ivLxKnck"
2	-1	"@corradopassera I have to congratulate the Monti government for transparency, sobriety and pragmatism however"
3	-1	"Casini nominates Mario Monti for the Quirinale: The leader of the UDC, Pierferdinando Casini, is enthusiastic about the work ... http://t.co/ZN7hfbmr"
1	-3	"Bardoscia http://t.co/1yXWbvUN: Monti Government? From bad to worse ... http://t.co/C7iG1hDM"
1	-3	"They broke the dick with Berlusconi mo 'they broke the dick with the government mountains .. flash news you all broke my dick!"
3	-4	"the mountains government will try to set up Italy who is crying ......... let's hope for the best and we hope to see her laugh ........"
1	-4	"The criticisms of the monti government by those who have brought us to the brink of bankruptcy are intolerable"
1	-1	"In Parliament, the PD must work to make the Monti government's maneuver much fairer."
2	-1	"ITALIANS DO NOT EXULT: MARIO MONTI IS THE NTH PUPPET! http://t.co/WBGWs6G3"
1	-1	"imazzoli The maneuver of the Monti government had to be fairer http://t.co/7jdza7cJ"
1	-1	"Why precisely the ICI (IMU) ?: In the potpourri of tributes and sacrifices present in the maneuver of the Monti government, qu ... http://t.co/0R5EPrL8"
1	-3	"Bankruptcy would make everyone feel worse. It is the risk that the #Monti government's maneuver must avert .... http://t.co/82oRbUwd"
3	-2	"Casini, sorry, but Gianluigi Magri, undersecretary of the Monti government, became a UDC senator by virtue of the holy spirit? ^ fb"
2	-2	"Casini left and right: do not be smart and timid towards the Monti government"
1	-2	"The Monti government extends the state of emergency in L'Aquila and the commissioner http://t.co/sN2vVTbP"
1	-1	"Latini: 'The Monti government's maneuver is not sustainable for the Italians': The Monti maneuver is sustainable for the ... http://t.co/lTtvQKzU"
1	-3	"professor #monti: rejected! #handle"
1	-1	"(LEO) How It Was Proven: With the very Catholic coup government of Mario Monti and the tacit consent of a ... http://t.co/ldVd3pvC"
1	-3	"The tragedy of a ridiculous Monti government http://t.co/rbzHGyaC #economy #politics #fiscal evasion #fisco"
2	-1	"@DeBortoliF: #Berlusconi is right. Confidence in the #Monti government's maneuver will be inevitable. @luigi_vasta @choebin"
3	-2	"Which car models will be interested in the super tax that introduces the maneuver launched by the Monti government and ... http://t.co/XGUrsSgL"
3	-3	"The Monti government requires great sacrifices from ordinary citizens but has had little courage in attacking consolidated privileges. """
2	-1	"MONTI: OUTSIDE THE EURO THERE IS THE BARATRO. BERLUSCONI AND CASINI: PREMIER PUT TRUST: ROME Mario Monti pre ... http://t.co/UUqk2YkW"
3	-4	"the government mountains is crap! it is not with taxes that we start again gracia docet!"
2	-2	"MARIO MONTI. I didn't like the coup that put him in place, but now that he's serious he has my trust."
1	-4	"At the City Direction PD Chieti discusses the maneuver of the Monti government: many are pissed off!"
1	-1	"Professor Monti asks us for the sacrifices ... and if we don't want to make them, the sacrifices for this Italy?"
3	-2	"By restoring the ICI on the first house, the Monti government manages to cancel the only positive thing done by Berlusconi. Chapeau."
1	-3	"thinking about the #manovra I only say marginal propensity to consume or they are ignorant or they are assholes' sti professoni of the government #Monti"
1	-2	"Maneuvers: It is very easy to criticize this maneuver, just as it is very easy to do the opposition to the Monti government (the ... http://t.co/K9FhSy1R"
2	-1	"@fcomun #ilpiugrandespettacolodopoilweekend is like government #monti: nothing new but better than #gf"
1	-2	"The #PD must not ask itself so much the problem of gilding the pill for the voters as of working for phase two of the #monti #infidele government"
2	-3	"I pay the fee to see Benigni play an idiot ... San Mario Monti will take care of it ..."
1	-4	"NO TO MANEUVERING TEARS AND BLOOD OF THE MONTI GOVERNMENT http://t.co/e2nmp7Pw"
1	-1	"# Equity and #social justice? The #Manovra of the #government #Monti is in continuity with the policy of the previous Executive"
1	-1	"Monti government, forgotten equity http://t.co/ydY3y86T"
1	-1	"Youth Forum: who are the 30-year-olds called by Mario Monti ECONOMY http://t.co/GbrTBOLV"
2	-1	"DEAR MARIO MONTI, DO YOU GO TO VESPA AND SIGN YOU ALSO?"
1	-1	"@ANNOZERO_ WHY MARIO MONTI GOES TO A VESPA? GO TO SIGN?"
2	-3	"@maurizio_lupi in La Stampa: 'democracy suspended'. But has the Monti government gained confidence in Parliament or not? Very serious statement"
1	-2	"The Monti government ... will lead to poverty ... It has always struck the same people. I mean ... The honest ones"
1	-1	"@DeBortoliF excuse me director, do you know if Mario monti's account on twitter is official?"
